HWMC,U_CODE
依妍柔顺去屑洗发露,1070223010000000000
装饰工程,3050400000000000000
罗西尼表,1090618030000000000
鳄鱼恤男健步鞋灰,1040204020000000000
尿素喷射管（24V）,1090102060000000000
乐事飘香麻辣锅味40克*10包*5袋,1030201050000000000
油封,1090201080000000000
减震块,1090310010700000000
GERTOP外套,1040201990000000000
电梯保养麦肯希酒店,3049900000000000000
成品油,1010103990000000000
高乐高脆力帮牛奶味,1030201030000000000
中国台湾 九福赤砂糖沙琪玛(黑糖沙琪玛) 227g,1030201990000000000
钳型电流表,1090201080000000000
前保险杠蒙皮空气导流板,1090310029900000000
二机位中岛（含发光字）,1050108030000000000
左前门装饰裙板总成,1090310020600000000
一桥减振器总成,1090310010200000000
维C银翘片\171009\广西圣特,1070304040000000000
轮胎,1070501020000000000
海天美厨鸡精,1030206040000000000
工程款,3050100000000000000
电费,1100101020200000000
C5不锈钢药品柜,1090248020000000000
冷却水管,1090103040000000000
2+护发素400ml)送洗80ml*2+发膜70ml(秀发能量水 新老包装随机发),1070223030000000000
车身线束,1090113050000000000
贝亲婴儿柔湿巾10片,1070223010000000000
新华环保双杯洗漱架,1070601120000000000
锥柄麻花钻,1080403010000000000
促销服务费,3049900000000000000
胃康灵胶囊,1070304080000000000
点焊机,1090110010000000000
8%异辛酸钴,1070299990000000000
adidas童鞋,1040204990000000000
营销服务费,3040603000000000000
宝力臣(Babypower)融融豆苹果味25g,1030208010000000000
彼德迪奥针织衫9700蓝色48,1040201990000000000
轴承零配件,1090123030000000000
牛油果鸡肉焙果（单排）,1030201010000000000
现代服务业（6%）,3049900000000000000
凝雪灰/枫树绿/檀黑色/基础白 男经典休闲鞋,1040204020000000000
接水盘(S814)_C1231.5-12(A1),1090421020000000000
培康(TakeCare) 鳕鱼肉绒 鱼粉松120g,1030208010000000000
珍珠棉板材,1070601020000000000
钢结构安装,3050200000000000000
3M 9001V 环保包装折叠式耳戴式带呼吸阀防护口罩,1040111020000000000
端子,1090519080000000000
触摸芯片,1090519080000000000
【百草味】玉米片（海苔味）75g,1030201050000000000
4500944183/缸座/Q235A,1090101010000000000
销售服务费,3049900000000000000
建筑劳务费,3059900000000000000
森田玻尿酸高保湿面膜5片装,1070223020000000000
Q7迈克犀牛单鞋A82057棕色F码,1040204030000000000
1ml*10支（透明）,1060105990000000000
理念丽贴ZF型线缆标签ZF37.5-38-30W（白色）,1060105990000000000
精加工成品,2010500000000000000
主线束A0026-502UL线ULUL-BCD400WERoHS,1090409990000000000
YXVF132M-4 攻丝M12*40,1090403020000000000
蜗牛大眼底妆眼精华乳,1070223040000000000
190*300张 提*6,1060105040000000000
沥青,1070101130000000000
增值电信服务,3030200000000000000
面板,1090404060000000000
茶花通用衣架(1x5）07081T,1060512990000000000
万和油烟机,1090416020000000000
