第一次,第二次
"近义词汉语:温顺,和顺,恭顺,忠顺,驯顺,驯熟,驯服,驯良,柔顺,随和,乖,百依百顺,与人无争,一团和气,温驯,驯熟葡萄牙语","近义词汉语:温顺,和顺,恭顺,忠顺,驯顺,驯熟,驯服,驯良,柔顺,随和,乖,百依百顺,与人无争,一团和气,温驯,驯熟葡萄牙语:meigo,docilidade,dócil德语:fügsam,mild,sanftmütig英语:docility,gentleness,mansuetude,meekness,tameness,tractability,waxiness西班牙语:docilidad,suavidad法语:docile,doux反义词汉语:暴躁,凶猛查看关于柔顺的反义词>>("
"近义词汉语:装饰,装璜汉语:装饰,装点,装璜,装修,点缀,饰,装潢,装裱葡萄牙语近义词汉语:饰物,装饰品,装饰,什件儿,饰,饰品法语","近义词汉语:装饰,装璜汉语:装饰,装点,装璜,装修,点缀,饰,装潢,装裱葡萄牙语:enfeite,ataviamento,ataviar,ornamentação,ornamental,ornamento,guarnição,embelezamento,embelezar,decorativo,decoração,decorar,adorno,adornar法语:décorer,orner德语:dekoriert,Aufputz,Bühnenausstattung,Dekoration,Dressing,Musterung,ornament,Putze,Putzlappen,Verschönerung,Zier,Zierde,behängen,verschönern,dekorativ英语:decorate,accessorize,adorn,dressup,embellish,emboss,garnish,ornament,varnish西班牙语:acicalamiento,acicalar,aderezar,adornar,adorno,arreo,componer,decoración,decorar,embellecimiento,engalanar,exornar,ornamentación,ornamentar,ornamento,ornar,ornato,recomponer,recomposición,toque,zafar2饰物近义词汉语:饰物,装饰品,装饰,什件儿,饰,饰品法语:parure,décoration英语:decorations,jewelry,ornaments("
"近义词汉语:工程,工,工事俄语","近义词汉语:工程,工,工事俄语:объект,инженерноесооружение,инженерный德语:Projekt,Bauprojekt,Gewerk,Ingenieurwesen,planen,abbilden西班牙语:ingeniería,obra英语:engineering,project,work("
"近义词汉语:表,表格,报表汉语:表,手表汉语:表,中表俄语近义词汉语:面,面子,皮,脸,表,表面,面上汉语:面,平面俄语近义词汉语:仪表,仪容,仪态,仪观,仪,人品汉语:仪表,仪器,仪,计,表俄语近义词汉语:表面,外表,外部,大面儿,表,标英语近义词汉语:奏章,奏疏,章,表,本,疏,书6表示近义词汉语:表示,示意,表俄语近义词汉语:阐明,阐发,发明,说明,表明,申明,申说,申述,申,表法语","近义词汉语:表,表格,报表汉语:表,手表汉语:表,中表俄语:верх,лицеваясторона,наружный,поверхностный,верхний英语:rota,surface,table,watch西班牙语:reloj,tabla德语:Armbanduhr,Formular,Liste,Tabelle,Uhr,Thermometer法语:apparence,surface,tableau,formule,montre,[pourmarquerlaparentécollatéraleentrelesenfantsd'unfrèreetceuxd'unesœuroudessœurs]2面近义词汉语:面,面子,皮,脸,表,表面,面上汉语:面,平面俄语:лицо,наружность,лицеваясторона法语:visage,face,surface,côté,farine,poudre,nouilles德语:Mehl,Nudeln,Gesicht,Oberfläche,inRichtung,Seite,Aspekt,Mehl,Pulver,Staub,Nudel(近义词汉语:仪表,仪容,仪态,仪观,仪,人品汉语:仪表,仪器,仪,计,表俄语:внешность,наружность西班牙语:porte,presencia法语:maintien,tenue英语:appearance,instrument,meter4表面近义词汉语:表面,外表,外部,大面儿,表,标英语:surface,exterior,facade法语:surface,apparence葡萄牙语:superfície,superficial德语:Gesicht,Oberfläche,äußere,äußern,äußerer,äußerlich,oberflächlich,scheinbar反义词汉语:实质,内心,暗地,实际5奏章近义词汉语:奏章,奏疏,章,表,本,疏,书6表示近义词汉语:表示,示意,表俄语:выражать,высказывать,заявлять法语:montrer,exprimer,manifester西班牙语:figurar,manifestación,manifestar,pregonar,rendir英语:express,denote,figure,indicate,render,represent,show,denotation,expression葡萄牙语:denotação,denotar,denotativo7阐明近义词汉语:阐明,阐发,发明,说明,表明,申明,申说,申述,申,表法语:exposer,expliquer葡萄牙语:enunciativo,enunciação,enunciar,elucidativo,elucidação,elucidar西班牙语:desenvolver,desenvolvimiento,desplegar,elucidar,enunciación,enunciar,exponer,vaciar英语:clarify,elucidate,enucleate,illuminate,illustrate,setforth德语:beleuchtet,entwickelt,interpretiert,Auslegung,Beleuchtung,Entfaltung,Erläuterung,Illumination,beleuchten,develop,entwickeln,erläutern,erschließen,evolve,generate,interpretieren,verbildlichen,verdeutlichen查看关于表的反义词>>("
"近义词汉语:鳄鱼,鳄葡萄牙语","近义词汉语:鳄鱼,鳄葡萄牙语:crocodiliano,crocodilo西班牙语:caimán,cocodrilo,jacaré,yacaré英语:alligator,crocodile("
"近义词汉语:男,男性,乾,阳俄语近义词汉语:子,儿子,儿,男,崽,子嗣,小子,幼子德语近义词汉语:男爵,男葡萄牙语","近义词汉语:男,男性,乾,阳俄语:мужчина,мужскойпол,мужской德语:Mann,männlich,♂英语:he,male,man,son2子近义词汉语:子,儿子,儿,男,崽,子嗣,小子,幼子德语:Hilfswort,dassanNamenvonDingenangehängtwird,1.der12Erdenzweige,JahrderRatte,Rattenjahre,StundeumMitternacht,1.Tierimchin.Tierkreis-Ratte[Astrol.],Kind(近义词汉语:男爵,男葡萄牙语:baronial,barões,barão德语:Baron,Freiherr,adelig("
"近义词汉语:尿素,脲","近义词汉语:尿素,脲("
"近义词汉语:喷,喷气,喷吐,喷云吐雾汉语:喷,喷射,喷溅,喷发,射,唧,滋,迸发,高射,喷洒,喷涂,喷涌俄语","近义词汉语:喷,喷气,喷吐,喷云吐雾汉语:喷,喷射,喷溅,喷发,射,唧,滋,迸发,高射,喷洒,喷涂,喷涌俄语:брызгать,обрызгивать,опрыскивать法语:jaillir,vaporiser英语:gush,spew,spout,spray,sprinkle,spurt德语:duftend,herausspritzen,pusten,speien,speisen,spritzen("
"近义词汉语:管,管子,管材俄语近义词汉语:筒,管,杆,筒子,管子俄语近义词汉语:枝,枝子,枝条,侧枝,条,柯,枝干,主枝汉语:枝,条,杆,挺,根,管,茎俄语近义词汉语:管理,经营,掌管,治理,管事,掌,管,理,问,管管,治治,管治俄语近义词汉语:管教,教养,调教,管,管束,辖制法语近义词汉语:管保,保管,管教,包管,保险,保证,准保,确保,担保,保,包,管,打包票,作保,保准,承保,力保法语近义词汉语:把,把手,把子,耳子,襻,把儿,靠手,提手,提梁,轩辕汉语:把,把子,捆,束,卷,扎,一小撮,括汉语:把,将,管,拿俄语近义词汉语:不论,无论,不拘,不管,任凭,随便,无,任,凭,管,任由,甭管,不论是,无论是,听由俄语","近义词汉语:管,管子,管材俄语:труба,трубка法语:tube,tuyau德语:Rohr,Röhre,sichkümmernum,verwalten,einBlasinstrument,Schlüssel,ZählwortfürzylinderförmigeGegenstände,umgangssprachlichzurVoranstellungdesdirektenObjekts,Guan西班牙语:meato,vaso英语:canal,duct,fistula,guarantee,meatus,pipe,tube,windinstrument2筒近义词汉语:筒,管,杆,筒子,管子俄语:труба,трубка,цилиндр法语:tube,tuyau德语:Röhre,Zylinder英语:asectionofthickbamboo,canister,tube-shapedobject3枝近义词汉语:枝,枝子,枝条,侧枝,条,柯,枝干,主枝汉语:枝,条,杆,挺,根,管,茎俄语:ветка,ветвь英语:branch,twig4管理近义词汉语:管理,经营,掌管,治理,管事,掌,管,理,问,管管,治治,管治俄语:контролировать,смотретьза葡萄牙语:regulação,regular,gerência,gerenciar,administrativo,administração,administrar英语:manage,administrate,conduct,control,govern,rule,supervise,administration,governance,management,supervision法语:gérer,administrer德语:beaufsichtigen,betreuen,besorgen,handhaben,Administration,Anleitung,Beaufsichtigung,Beherrschung,Bewirtschaftung,Geschäftsführung,Governance,Management,Regierungsform,Regime,Verwalter,Verwaltung,bewerkstelligen,führen,verwalten,wirtschaften,administrativ,aufsichtsrechtlich,bestimmend,geschäftsführend西班牙语:administración,administrar,control,gobernación,gobernar,gobierno,intendencia,manejar,manejo,señoría5管教近义词汉语:管教,教养,调教,管,管束,辖制法语:instruire,corriger英语:certainly,surely德语:beibringen,lehren,disziplinieren6管保近义词汉语:管保,保管,管教,包管,保险,保证,准保,确保,担保,保,包,管,打包票,作保,保准,承保,力保法语:garantir,assurer英语:assure,guarantee,certainly,surely7把近义词汉语:把,把手,把子,耳子,襻,把儿,靠手,提手,提梁,轩辕汉语:把,把子,捆,束,卷,扎,一小撮,括汉语:把,将,管,拿俄语:держатьвруках,взять法语:tenir,saisir,manche,poignée,tige(近义词汉语:不论,无论,不拘,不管,任凭,随便,无,任,凭,管,任由,甭管,不论是,无论是,听由俄语:независимоот,несмотря[невзирая]нато,что,какбыни法语:quelquesoit,peuimporte,n'importequel("
"近义词汉语:乐事,快事,赏心乐事英语","近义词汉语:乐事,快事,赏心乐事英语:amusement,delight,joy,pleasure反义词汉语:苦事查看关于乐事的反义词>>("
